Station: Mäkelänkatu  Periodically: 27/09/2018 00:01-11/10/2018 00:00  Type: AVG 1 Hr. [1 Hr.];;
;;
Date & Time;PM10;PM2_5
;ug/m3;ug/m3
09/10/2018 04:00;1.5;2.9
09/10/2018 05:00;0.7;1.6
09/10/2018 06:00;1.4;2.2
09/10/2018 07:00;4.7;4.6
09/10/2018 08:00;9.5;6.4
09/10/2018 09:00;9.7;7.1
09/10/2018 10:00;9.5;7
09/10/2018 11:00;7.2;5.3
09/10/2018 12:00;6.9;5.7
09/10/2018 13:00;7.9;5.7
09/10/2018 14:00;8.7;6.5
09/10/2018 15:00;9.7;6.1
09/10/2018 16:00;10.1;5.7
09/10/2018 17:00;11.1;6.7
09/10/2018 18:00;11.3;7
09/10/2018 19:00;12.6;7.2
09/10/2018 20:00;12.5;6
09/10/2018 21:00;12.3;5.8
09/10/2018 22:00;10.6;6.4
09/10/2018 23:00;8.2;5.3
09/10/2018 24:00;8.9;5.3
10/10/2018 01:00;9.1;5.9
10/10/2018 02:00;8.4;5.7
10/10/2018 03:00;8.8;5.9
10/10/2018 04:00;8.7;5.9
10/10/2018 05:00;9.2;7.5
10/10/2018 06:00;7.2;6
10/10/2018 07:00;9;6.9
10/10/2018 08:00;14.9;9.7
10/10/2018 09:00;15.9;8.8
10/10/2018 10:00;19;10.8
10/10/2018 11:00;18.4;10.9
10/10/2018 12:00;17;7.2
10/10/2018 13:00;18.8;12.8
10/10/2018 14:00;24.9;10.6
10/10/2018 15:00;NoData;NoData
10/10/2018 16:00;30.4;8.3
10/10/2018 17:00;20.8;3.8
10/10/2018 18:00;21.3;5.8
10/10/2018 19:00;26.3;10.3
10/10/2018 20:00;33.1;13.4
10/10/2018 21:00;24.5;10.2
10/10/2018 22:00;20;9
10/10/2018 23:00;19.2;8.5
10/10/2018 24:00;13;6.9
;;
;;
;;
;;
;;
;;
;;
;;
